2000.008281, 11833, 0, 2997, 5, 0
2000.014270, 12388, 0, 3416, 4, 0
2000.018876, 12196, 1, 3675, 5, 0
2000.024532, 12326, 0, 3654, 5, 0
2000.026011, 12350, 1, 3540, 3, 0
2000.029505, 12390, 0, 3677, 2, 1
2000.033687, 12344, 0, 3507, 2, 0
2000.037836, 12459, 0, 3519, 5, 0
2000.043925, 12088, 0, 3944, 5, 0
2000.047317, 12134, 1, 3649, 2, 0
2000.051031, 12265, 3, 3625, 9, 0
2000.062301, 12384, 0, 3759, 0, 0
2000.066906, 12018, 0, 3431, 2, 0
2000.073392, 12329, 0, 3408, 0, 0
2000.083531, 12299, 0, 3097, 2, 0
2000.085117, 12179, 1, 3675, 4, 0
2000.088781, 12057, 0, 3422, 1, 0
2000.099171, 12383, 2, 3757, 2, 0
2000.100802, 12062, 0, 3850, 2, 0
2000.101011, 12243, 0, 3075, 4, 0
2000.108506, 12089, 0, 3278, 2, 0
2000.111738, 12140, 0, 3774, 5, 2
2000.121956, 12247, 0, 3828, 4, 0
2000.126211, 12228, 0, 3645, 4, 0
2000.128369, 12569, 0, 3971, 1, 0
2000.135954, 12379, 0, 3795, 6, 0
2000.140108, 11962, 0, 3563, 2, 0
2000.146184, 12190, 0, 3321, 2, 0
2000.147629, 12052, 0, 3845, 6, 0
2000.152206, 12367, 0, 3418, 2, 0
2000.160281, 12038, 1, 3847, 4, 0
2000.166335, 12126, 0, 3794, 2, 0
2000.168874, 12444, 0, 3884, 2, 0
2000.173087, 12004, 1, 3983, 2, 0
2000.185501, 12233, 1, 3637, 2, 0
2000.189249, 12327, 0, 3581, 7, 0
2000.193911, 12290, 0, 4031, 3, 0
2000.197240, 12523, 1, 3738, 7, 0
2000.204073, 12424, 1, 3922, 7, 0
2000.207851, 12215, 0, 3378, 2, 0
2000.212055, 12081, 0, 3368, 3, 0
2000.218172, 12278, 0, 3432, 1, 0
2000.223543, 12623, 0, 3684, 8, 0
2000.232548, 12456, 0, 3645, 2, 0
2000.234012, 12296, 0, 3686, 5, 2
2000.238570, 12258, 0, 3460, 4, 0
2000.245044, 12411, 0, 3700, 2, 0
2000.246752, 12493, 1, 3663, 2, 0
2000.253750, 12111, 1, 4035, 2, 0
2000.256654, 12165, 0, 3106, 2, 0
2000.269365, 12475, 0, 3945, 2, 0
2000.271547, 12253, 0, 3700, 7, 0
2000.280076, 12232, 0, 3803, 3, 0
2000.285889, 12392, 0, 3571, 2, 0
2000.289593, 12516, 0, 3809, 1, 0
2000.292734, 12454, 0, 3468, 3, 0
